"alg-geom/9310008","Yves Laszlo","Andr\'e Hirschowitz, Yves Laszlo","A Propos de l'Existence de Fibr\'es Stables sur les Surfaces","9 pages, plain Tex, second version",,,,"alg-geom math.AG",,"  We prove the existence (in characteristic 0) on every polarized (smooth,
projective and connected) surface of stable bundles of rank $r\geq 2$,
arbitrary first Chern class and large enough $c_2$.
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 13:54:06 GMT""},{""version"":""v2"",""created"":""Mon, 8 Nov 1993 08:43:21 GMT""}]","2008-02-03"
"gr-qc/9310041",,"Jos\'e P. S. Lemos and Paulo M. S\'a","The Two-Dimensional Analogue of General Relativity","8 pages, LaTeX, preprint DF/IST-17.93","Class.Quant.Grav.11:L11-L14,1994","10.1088/0264-9381/11/1/003",,"gr-qc",,"  General Relativity in three or more dimensions can be obtained by taking the
limit $\omega\rightarrow\infty$ in the Brans-Dicke theory. In two dimensions
General Relativity is an unacceptable theory. We show that the two-dimensional
closest analogue of General Relativity is a theory that also arises in the
limit $\omega\rightarrow\infty$ of the two-dimensional Brans-Dicke theory.
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 13:27:44 GMT""}]","2010-04-06"
"hep-lat/9310029","Thomas Kalkreuter","Thomas Kalkreuter","Towards Multigrid Methods for Propagators of Staggered Fermions with
  Improved Averaging and Interpolation Operators","3 pages, to appear in the proceedings of LATTICE '93. NOTE: this is a
  ps-file, should you require the LaTeX source code, contact author by e-mail","Nucl.Phys.Proc.Suppl. 34 (1994) 768-770","10.1016/0920-5632(94)90508-8",,"hep-lat",,"  A Dirac choice for the averaging kernel $C$ is implemented numerically. This
improved kernel will be needed in gauge covariant multigrid computations for
propagators of staggered fermions. Results for $C$ and the variational coarse
grid operator will be given in 2-$d$ $SU(2)$ gauge fields. C++ is advocated for
future algorithm development.
","[{""version"":""v1"",""created"":""Thu, 28 Oct 1993 16:52:23 GMT""}]","2016-08-31"
"hep-lat/9310030",,"R.V.Gavai (ICTP, Trieste, Italy, and Tata Institute of Fundamental
  Research, Bombay 400 005, India) and L.Polley (FB Physik, Oldenburg
  University, 26111 Oldenburg, Germany)","C-Periodicity and the Physical Mass in the 3-State Potts Model","13 pages + 5 figures Preprint Nos. IC/93/131 and TIFR/TH/93-28","Phys. Lett. B324 (1994) 78-84","10.1016/0370-2693(94)00052-2",,"hep-lat",,"  The standard infinite-volume definition of connected correlation function and
particle mass in the 3-state Potts model can be implemented in Monte Carlo
simulations by using C-periodic spatial boundary conditions. This avoids both
the breaking of translation invariance (cold wall b.c.) and the phase-dependent
and thus possibly biased evaluation of data (periodic boundary cconditions).
The numerical feasibility of the standard definitions is demonstrated by sample
computations on a 24*24*48 lattice.
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 11:13:25 GMT""}]","2009-10-22"
"hep-ph/9310368","Smirnov Alexei","Alexei Yu. Smirnov","Neutrino Masses and Mixing","Talk given at the Int. Conf. ""Neutral Currents: Twenty Years Later""
  (Paris, July 6 - 9), 15 pages (2 figures available upon request), LaTeX,
  IC/93/359",,,,"hep-ph",,"  Restrictions on the neutrino masses and lepton mixing are reviewed. Solar,
atmospheric and relic neutrinos give the indications of existence of nonzero
neutrino masses and mixing. The data pick up two regions of mixing angles which
are or appreciably larger or appreciably smaller than the Cabibbo angle. Some
theoretical schemes with {\it large} or {\it small} lepton mixing are
discussed.
","[{""version"":""v1"",""created"":""Thu, 28 Oct 1993 16:10:48 GMT""}]","2009-09-25"
"hep-ph/9310369","John March-Russell","Markus A. Luty and John March-Russell","Baryons from Quarks in the $1/N$ Expansion","27 pages, 5 uuencoded postscript figures, plain tex. References and
  acknowledgements added. LBL-34778","Nucl.Phys. B426 (1994) 71-93","10.1016/0550-3213(94)90126-0",,"hep-ph nucl-th",,"  We present a diagrammatic analysis of baryons in the $1/N$ expansion, where
$N$ is the number of QCD colors. We use this method to show that there are an
infinite number of degenerate baryon states in the large-$N$ limit. We also
show that forward matrix elements of quark bilinear operators satisfy the
static quark-model relations in this limit, and enumerate the corrections to
these relations to all orders in $1/N$. These results hold for any number of
light quark flavors, and the methods used can be extended to arbitrary
operators. Our results imply that for two flavors, the quark-model relations
for the axial currents and magnetic moments get corrections of order $1/N^2$.
For three or more flavors, the results are more complicated, and corrections
are generically of order $1/N$. We write an explicit effective lagrangian which
can be used to carry out chiral perturbation theory calculations in the $1/N$
expansion. Finally, we compare our results to what is expected from a chiral
constituent quark model.
","[{""version"":""v1"",""created"":""Thu, 28 Oct 1993 22:41:38 GMT""},{""version"":""v2"",""created"":""Wed, 24 Nov 1993 02:57:17 GMT""},{""version"":""v3"",""created"":""Wed, 8 Dec 1993 01:29:19 GMT""}]","2009-10-22"
"hep-ph/9310370","Annamaria Zajec","Nguyen Ai Viet and Kameshwar C. Wali","Magnetic Monopoles in the Einstein-Yang-Mills-Higgs System","25 pages, SU-4240-558 (FIGURES appended as postscript.file)","Phys.Rev.D51:1664-1673,1995","10.1103/PhysRevD.51.1664",,"hep-ph hep-th",,"  We study the Yang-Mills-Higgs system within the framework of general
relativity. In the static situation, using Bogomol'nyi type analysis, we derive
a positive-definite energy functional which has a lower bound. Specializing to
the gauge group $SU(2)$ and the t'Hooft-Polyakov ansatz for the gauge and Higgs
fields, we seek static, spherically symmetric solutions to the coupled system
of equations in both the isotropic and standard coordinate systems. In both
cases, in the spontaneously broken symmetry situation, we find great
simplications reducing the solutions of the coupled system to the solution of a
single non-linear differential equation, different one in each case, but
well-known in other contexts of physics. We find abelian and non-abelian
monopole solutions with gravitational fields playing the role of Higgs fields
in providing attraction that balances the repulsion due to the gauge fields.
Numerical solutions indicate the possibility of blackhole horizons inside the
monopoles enclosing the singularity at the origin. Such non-abelian monopoles
are then the analogs of Reissner-Nordstr\""om blackholes with magnetic charge.
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 02:49:00 GMT""}]","2010-11-01"
"hep-ph/9310371",,"Dae Gyu Lee and R.N.Mohapatra (University of Maryland, College Park)","Natural Doublet-Triplet Splitting in Supersymmetric SO(10) Model","UMD-PP-94-50, Latex,9 pages","Phys.Lett. B324 (1994) 376-379","10.1016/0370-2693(94)90209-7",,"hep-ph",,"  We construct a supersymmetric SO(10) model, where natural doublet-triplet
splitting implemented via the Dimopoulos-Wilczek mechanism is stable under the
addition of 126+\bar{126} Higgs superfields needed to generate the small
neutrino masses via the see-saw mechanism and where both the charged fermion
and neutrino masses arise from just one set of 10 and \bar{126} multiplets.
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 13:22:22 GMT""}]","2009-10-22"
"hep-ph/9310372","Judy Mack","Ashok Das","On the Higher Order Corrections to Heavy Quark Effective Theory","17 pages, UR-1325, ER-40685-775","Mod.Phys.Lett. A9 (1994) 341-354","10.1142/S0217732394000368",,"hep-ph",,"  We show that the different ways of deriving the Heavy Quark Effective Theory
(HQET) lead to equivalent theories. The equivalence can be established through
a careful redefinition of the field variables. We demonstrate the equivalence
to order ${1 \over m^5}$ in the presence of a constant electric field.
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 14:46:00 GMT""}]","2015-06-25"
"hep-ph/9310373","Stephen Hsu","Stephen D.H. Hsu","Nonperturbative Decoupling and Effective Field Theory","12 pages no figures. HUTP-93-A019","Phys.Rev. D51 (1995) 1395-1401","10.1103/PhysRevD.51.1395",,"hep-ph hep-lat hep-th",,"  We examine recent claims that nonperturbative effects can prevent the
decoupling of a heavy fermion whose mass arises from a Yukawa coupling to a
scalar field. We show that in weakly coupled, four dimensional models such as
the standard model with heavy mirror fermions the effects of the heavy fermions
can always be accounted for by {\it local} operators involving light fields. We
contrast this with the case of the 1+1 dimensional Abelian Higgs model, in
which there does not appear to be a local effective field theory describing the
low energy physics when heavy fermions are integrated out. (Mailer corruption
hopefully fixed!)
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 14:13:52 GMT""},{""version"":""v2"",""created"":""Mon, 1 Nov 1993 18:27:45 GMT""}]","2009-10-22"
"hep-ph/9310374",,"D. Comelli, A. Masiero, M. Pietroni and A. Riotto","Spontaneous Breaking of R parity in the Minimal Supersymmetric Standard
  Model Revisited","10 pages, DFPD 93/TH/68, UTS-DFT-93-27, SISSA 93/168/A preprints, 2
  figures available upon e-mail request","Phys.Lett. B324 (1994) 397-402","10.1016/0370-2693(94)90212-7",,"hep-ph",,"  We reconsider the possibility of spontaneous breaking of $R$ parity in the
Minimal Supersymmetric Standard Model. By a renormalization group analysis we
find the parameter space in which a sneutrino gets a vacuum expectation value,
leading to the spontaneous breaking of the lepton number and to the appearance
of a phenomenologically unacceptable massless Goldstone boson. We then analyze
the effect of operators giving rise to a tiny amount of explicit violation of
lepton number, which could emerge as remnants of physics at some superheavy
(Planck or GUT) scale in the low energy effective theory. We show that the
conspiracy between the spontaneous and the explicit breaking scales can provide
a mass to the Goldstone boson larger than the ${\rm Z}^0$ boson mass, hence
allowing for a non vanishing sneutrino vacuum expectation value without
increasing the invisible width of the ${\rm Z}^0$.
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 15:36:16 GMT""}]","2009-10-22"
"hep-th/9310183","Gustav Delius","Anthony J. Bracken, Gustav W. Delius, Mark D. Gould and Yao-Zhong
  Zhang","Infinite Families of Gauge-Equivalent $R$-Matrices and Gradations of
  Quantized Affine Algebras","14 pages, Latex, UQMATH-93-10 (final version for publication)","Int.J.Mod.Phys.B8:3679-3691,1994","10.1142/S0217979294001585",,"hep-th",,"  Associated with the fundamental representation of a quantum algebra such as
$U_q(A_1)$ or $U_q(A_2)$, there exist infinitely many gauge-equivalent
$R$-matrices with different spectral-parameter dependences. It is shown how
these can be obtained by examining the infinitely many possible gradations of
the corresponding quantum affine algebras, such as $U_q(A_1^{(1)})$ and
$U_q(A_2^{(1)})$, and explicit formulae are obtained for those two cases.
Spectral-dependent similarity (gauge) transformations relate the $R$-matrices
in different gradations. Nevertheless, the choice of gradation can be
physically significant, as is illustrated in the case of quantum affine Toda
field theories.
","[{""version"":""v1"",""created"":""Thu, 28 Oct 1993 16:12:03 GMT""},{""version"":""v2"",""created"":""Fri, 29 Oct 1993 16:29:54 GMT""},{""version"":""v3"",""created"":""Fri, 26 Nov 1993 17:53:10 GMT""},{""version"":""v4"",""created"":""Mon, 29 Nov 1993 14:51:36 GMT""},{""version"":""v5"",""created"":""Tue, 1 Mar 1994 15:10:09 GMT""},{""version"":""v6"",""created"":""Thu, 21 Apr 1994 20:20:33 GMT""}]","2010-12-01"
"hep-th/9310186",,"S. Tasaki, E. Eisenberg, L. P. Horwitz","Measurement Theory in Lax-Phillips Formalism","14 pages, IASSNS-HEP 93/64",,"10.1007/BF02057863",,"hep-th",,"  It is shown that the application of Lax-Phillips scattering theory to quantum
mechanics provides a natural framework for the realization of the ideas of the
Many-Hilbert-Space theory of Machida and Namiki to describe the development of
decoherence in the process of measurement. We show that if the quantum
mechanical evolution is pointwise in time, then decoherence occurs only if the
Hamiltonian is time-dependent. If the evolution is not pointwise in time (as in
Liouville space), then the decoherence may occur even for closed systems. These
conclusions apply as well to the general problem of mixing of states.
","[{""version"":""v1"",""created"":""Thu, 28 Oct 1993 19:05:23 GMT""}]","2009-10-22"
"hep-th/9310187","Krzysztof Gawedzki","Jurg Frohlich and Krzysztof Gawedzki","Conformal Field Theory and Geometry of Strings","44 pages, latex file, 5 references added",,,,"hep-th",,"  What is quantum geometry? This question is becoming a popular leitmotiv in
theoretical physics and in mathematics. Conformal field theory may catch a
glimpse of the right answer. We review global aspects of the geometry of
conformal fields, such as duality and mirror symmetry, and interpret them
within Connes' non-commutative geometry. Extended version of lectures given by
the 2nd author at the Mathematical Quantum Theory Conference, Vancouver,
Canada, August 4 to 8, 1993
","[{""version"":""v1"",""created"":""Thu, 28 Oct 1993 21:16:54 GMT""},{""version"":""v2"",""created"":""Sun, 31 Oct 1993 14:46:28 GMT""}]","2008-02-03"
"hep-th/9310188","Subir Ghoshal","Subir Ghoshal","Bound State Boundary S-matrix of the sine-Gordon Model","9 pages, RU-93-51","Int.J.Mod.Phys.A9:4801-4810,1994","10.1142/S0217751X94001941",,"hep-th",,"  We study the boundary S-matrix for the reflection of bound states of the
two-dimensional sine-Gordon integrable field theory in the presence of a
boundary.
","[{""version"":""v1"",""created"":""Thu, 28 Oct 1993 22:29:09 GMT""},{""version"":""v2"",""created"":""Fri, 29 Oct 1993 04:09:35 GMT""}]","2010-01-07"
"hep-th/9310189","Miroslav Doresic","V.Bardek, M.Doresic and S.Meljanac","Anyons as quon particles","10 pages,Latex","Phys.Rev. D49 (1994) 3059-3062","10.1103/PhysRevD.49.3059",,"hep-th",,"  The momentum operator representation of nonrelativistic anyons is developed
in the Chern - Simons formulation of fractional statistics. The connection
between anyons and the q-deformed bosonic algebra is established.
","[{""version"":""v1"",""created"":""Thu, 28 Oct 1993 20:45:46 GMT""}]","2009-10-22"
"hep-th/9310190","Julian Lee","Julian Lee","Time-Dependent Backgrounds in 2D String Theory and the $S$-matrix
  Generating Functional","23 pages, BROWN-HET-925","Phys. Rev. D 49, 2957 (1994)","10.1103/PhysRevD.49.2957",,"hep-th",,"  We study the time-dependent tachyon backgrounds of the string collective
field theory using the formalism of the $S$-matrix generating functional. In
the process we clarify the connection between two ways of calculating the
$S$-matrix, the one using the Feynman rule and the other using the classical
solution to the nonlinear equation of motion. We develop the formalism for
general backgrounds and apply it to the gravitational sine-Gordon model in
detail. We reproduce the conformal field theory calculation which was based on
expanding around the static $c=1$ theory. Furthermore, we prove that the tree-
level partition function of this model shows the scaling behavior corresponding
to $c=0$ model in the limit $p \to 0$ of sine-Gordon `momentum' $p$.
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 03:23:53 GMT""}]","2013-11-13"
"hep-th/9310191","Yuri Makeenko","Yu. Makeenko","Matrix Models of 2D Gravity and Induced QCD","14pp., Latex, ITEP-YM-6-93 (a review talk)",,,,"hep-th",,"  I review some recent works on the Hermitean one-matrix and d-dimensional
gauge-invariant matrix models. Special attention is paid to solving the models
at large-N by the loop equations. For the one-matrix model the main result
concerns calculations of higher genera, while for the d-dimensional model the
large-N solution for a logarithmic potential is described. Some results on
fermionic matrix models are briefly reviewed. Talk at the Workshop on Quantum
Field Theoretical Aspects of High Energy Physics, Kyffhaeuser, Germany,
September 20-24, 1993
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 09:06:14 GMT""}]","2007-05-23"
"hep-th/9310192",,"Wen-Jui Huang","Superconformal Covariantization Of Superdifferential Operator On (1|1)
  Superspace And Classical N=2 W-superalgebras","NHCU-HEP-94-06, 21 pages (plain TeX). One remarking paragraph and
  five new references on related subjects are added. Notice also the minor
  change of title","J.Math.Phys.35:2570-2582,1994","10.1063/1.530524",,"hep-th",,"  A study of the superconformal covariantization of superdifferential operators
defined on $(1|1)$ superspace is presented. It is shown that a
superdifferential operator with a particular type of constraint can be
covariantized only when it is of odd order. In such a case, the action of
superconformal transformation on the superdifferential operator is nothing but
a hamiltonian flow defined by the corresponding supersymmetric second
Gelfand-Dickey bracket. The covariant form of a superdifferential operator of
odd order is given.
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 09:29:39 GMT""},{""version"":""v2"",""created"":""Mon, 16 May 1994 06:47:44 GMT""}]","2011-07-19"
"hep-th/9310193","Shinsuke Nishigaki","Shinsuke Nishigaki","Scaling Violation in O(N) Vector Models","9 pages, LaTeX, TIT/HEP--229","Mod.Phys.Lett. A9 (1994) 631-642","10.1142/S0217732394003865",,"hep-th",,"  We investigate $O(N)$-symmetric vector field theories in the double scaling
limit. Our model describes branched polymeric systems in $D$ dimensions, whose
multicritical series interpolates between the Cayley tree and the ordinary
random walk. We give explicit forms of residual divergences in the free energy,
analogous to those observed in the strings in one dimension.
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 10:46:40 GMT""}]","2015-06-26"
"hep-th/9310194","Coussaert Olivier","O. Coussaert and M. Henneaux","Supersymmetry of the 2+1 black holes","9 pages LaTeX file, ULB-PMIF-93/07","Phys.Rev.Lett. 72 (1994) 183-186","10.1103/PhysRevLett.72.183",,"hep-th gr-qc",,"  The supersymmetry properties of the asymptotically anti-de Sitter black holes
of Einstein theory in 2+1 dimensions are investigated. It is shown that (i) the
zero mass black hole has two exact super- symmetries; (ii) extreme $lM=|J|$
black holes with $M \not= 0$ have only one; and (iii) generic black holes do
not have any. It is also argued that the zero mass hole is the ground state of
(1,1)-adS supergravity with periodic (``Ramond"") boundary conditions on the
spinor fields.
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 14:14:57 GMT""}]","2009-10-22"
"nucl-th/9310031",,"F. Krmpoti\'c, A. Mariano, T.T.S. Kuo and K. Nakayama","Projected Linear Response Theory for Charge-Exchange Excitations and
  Double Beta Decay","12 pages text (LaTex) and 1 figure upon request, to be published in
  Phys. Lett. B","Phys.Lett. B319 (1993) 393-400","10.1016/0370-2693(93)91740-E",,"nucl-th",,"  The projected random phase approximation (PRPA) for charge-exchange
excitations is derived from the time-dependent variational principle. Explicit
results for the unperturbed energies (including the self-energy corrections),
the PRPA matrices, and the transition matrix elements are presented. The effect
of the projection procedure on the two-neutrino $\beta\beta$ decay in $^{76}Ge$
is briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 28 Oct 1993 17:31:29 GMT""}]","2016-08-14"
