"alg-geom/9310007","Burt Totaro","David Eisenbud, Alyson Reeves, and Burt Totaro","Initial ideals, Veronese subrings, and rates of algebras","24 pages, latex file",,,,"alg-geom math.AC math.AG",,"  We show that high Veronese subrings of any commutative graded ring have a
Grobner basis with all relations of degree 2. (The d-th Veronese subring of a
ring A_0 + A_1 + A_2 + ... is the ring A_0 + A_d + A_{2d} + ...; ``high'' means
we take d sufficiently large, say at least half the regularity of the ideal
defining the original ring.) This gives another proof of Backelin's theorem
that such Veronese subrings are Koszul algebras (= wonderful rings), i.e., that
the minimal resolution of the residue field of such a ring is linear.
","[{""version"":""v1"",""created"":""Mon, 11 Oct 1993 22:38:14 GMT""}]","2008-02-03"
"hep-lat/9310013","Klaus Pinn","M. Hasenbusch and K. Pinn","Comparison of Monte Carlo Results for the 3D Ising Interface Tension and
  Interface Energy with (Extrapolated) Series Expansions","22 pages, 9 figures appended as 3 PS-files, preprints
  CERN-TH.7029/93, MS-TPI-93-08","Physica A203 (1994) 189-213","10.1016/0378-4371(94)90152-X",,"hep-lat cond-mat",,"  We compare Monte Carlo results for the interface tension and interface energy
of the 3-dimensional Ising model with Pad\'e and inhomogeneous differential
approximants of the low temperature series that was recently extended by Arisue
to $17^{\rm th}$ order in $u=\exp(-4\beta)$. The series is expected to suffer
from the roughening singularity at $u\approx 0.196$. The comparison with the
Monte Carlo data shows that the Pad\'e and inhomogeneous differential
approximants fail to improve the truncated series result of the interface
tension and the interface energy in the region around the roughening
transition. The Monte Carlo data show that the specific heat displays a peak in
the smooth phase. Neither the truncated series nor the Pad\'e approximants find
this peak. We also compare Monte Carlo data for the energy of the ASOS model
with the corresponding low temperature series that we extended to order
$u^{12}$.
","[{""version"":""v1"",""created"":""Mon, 11 Oct 1993 16:20:48 GMT""}]","2009-10-22"
"hep-lat/9310014","Pierre Lacock","L. Karkkainen, P. Lacock, D.E. Miller, B. Petersson and T. Reisz","The Physical Phase of Dimensionally Reduced Gauge Theories","(BI-TP 93/37 September 1993). 11 pages tex plus 5 figures available
  (can be faxed on request) from P. Lacock, email address:
  lacock@s-a.amtp.liv.ac.uk","Nucl.Phys.B418:3-14,1994","10.1016/0550-3213(94)90235-6",,"hep-lat",,"  We investigate the relationship between the high temperature deconfined phase
of the SU(2) gauge theory to the phases of the corresponding three dimensional
adjoint Higgs model. For various temperatures we simulate the effective theory
in a neighbourhood of the physical states, that is of those values of the
coupling constants that describe the infrared behaviour of the four dimensional
theory and which have been calculated by applying dimensional reduction
techniques. We show that the physical points belong to the confined phase of
the SU(2) adjoint Higgs model.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 1993 13:22:00 GMT""}]","2009-09-25"
"hep-ph/9310263",,"B.Konig, J.G.Korner, M.Kramer","On the Determination of the $b \rightarrow c$ Handedness Using
  Nonleptonic $\Lambda_c$-Decays","11 pages, Latex, DESY 93-135, 3 Figures (not included, available by
  fax upon request to T00KRM@DHHDESY3.DESY.DE)","Phys.Rev. D49 (1994) 2363-2368","10.1103/PhysRevD.49.2363",,"hep-ph",,"  We consider possibilities to determine the handedness of $b \ra c$ current
transitions using semileptonic baryonic $\Lambda_{b} \rightarrow \Lambda_{c}$
transitions. We propose to analyze the longitudinal polarization of the
daughter baryon $\Lambda_c$ by using momentum-spin correlation measurements in
the form of forward-backward (FB) asymmetry measures involving its nonleptonic
decay products. We use an explicit form factor model to determine the
longitudinal polarization of the $\Lambda_c$ in the semileptonic decay
$\Lambda_b \ra \Lambda_c + l^- + \bar \nu_l$. The mean longitudinal
polarization of the $\Lambda_c$ is negative (positive) for left-chiral
(right-chiral) $b \ra c$ current transitions. The frame dependent longitudinal
polarization of the $\Lambda_c$ is large ($\cong 80\%$) in the $\Lambda_b$ rest
frame and somewhat smaller (30\% - 40\%) in the lab frame when the
$\Lambda_b$'s are produced on the $Z_0$ peak. We suggest to use nonleptonic
decay modes of the $\Lambda_c$ to analyze its polarization and thereby to
determine the chirality of the $b \ra c$ transition. Since the $\Lambda_b$'s
produced on the $Z_0$ are expected to be polarized we discuss issues of the
polarization transfer in $\Lambda_b \ra \Lambda_c$ transitions. We also
investigate the $p_\perp$- and $p$-cut sensitivity of our predictions for the
polarization of the $\Lambda_c$.
","[{""version"":""v1"",""created"":""Mon, 11 Oct 1993 17:28:40 GMT""}]","2009-10-22"
"hep-ph/9310264","Leandros Perivolaropoulos","Leandros Perivolaropoulos","On the Asymptotics of Nielsen-Olesen Vortices","Accepted in Phys. Rev. D (to appear in the December 15 issue). 5
  pages plus 1 figure available from the author. Use Latex","Phys.Rev. D48 (1993) 5961-5962","10.1103/PhysRevD.48.5961",,"hep-ph astro-ph",,"  We investigate analytically and numerically the asymptotic behavior of the
Nielsen-Olesen vortex solutions and show that they approach their asymptotic
values exponentially but with exponents that differ from the ones quoted in the
literature. In particular, it is shown that for values of the Higgs
self-coupling that are larger than a critical value, both the Higgs field and
the gauge field approach exponentially their asymptotic values with {\it equal}
exponents that are {\it independent} of the Higgs self-coupling.
","[{""version"":""v1"",""created"":""Mon, 11 Oct 1993 19:07:59 GMT""}]","2009-10-22"
"hep-ph/9310265",,"R.N. Mohapatra","Minimal SO(10) Grand Unification: Predictions for Proton Decay and
  Neutrino Masses and Mixings:","Invited talk presented at the workshop on ""New Physics with New
  Experiments"" held in Kaimierz, Poland, May, 1993; Department of Physics,
  University of Maryland, College Park, MD 20742, USA",,,,"hep-ph",,"  Prospects for SO(10) as a minimal grand unification group have recently been
heightened by several considerations such as the MSW resolution of the solar
neutrino puzzle, baryogenesis, possibility for understanding fermion masses
etc. I review the present status of the minimal SO(10) models with special
emphasis on the predictions for proton lifetime and predictions for neutrino
masses for the non-supersymmetric case and discuss some preliminary results for
the supersymmetric case. It was generally believed that minimal SO(10) models
predict wrong mass relations between the charged fermions of the first and
second generations; furthermore, while the smallness of the neutrino masses in
these models arises from the see-saw mechanism, it used to be thought that
detailed predictions for neutrino masses and mixings require further adhoc
assumptions. In this talk, I report some recent work with K.S.Babu, where we
discovered that the minimal SO(10) model, both with and without SUSY, has in it
a built-in mechanism that not only corrects the bad mass relations between the
charged fermions but at the same time allows a complete prediction for the
masses and mixings in the neutrino sector. We define our minimal model as the
one that consists of the smallest set of Higgs multiplets that are needed for
gauge symmetry breaking. Our result is based on the hypothesis that the complex
{\bf 10} of Higgs bosons has only a single coupling to the fermions. This
hypothesis is guaranteed in supersymmetric models and in non-SUSY models that
obey a softly broken Peccei-Quinn symmetry.
","[{""version"":""v1"",""created"":""Mon, 11 Oct 1993 20:41:02 GMT""}]","2007-05-23"
"hep-ph/9310266","Katsuhiko Suzuki","K. Suzuki, T. Shigetani and H. Toki","Diquark Corrleations in the nucleon structure function","18pages, TMU-NT-931001. 6 figures included in a separate uuencoded
  postscript files","Nucl.Phys. A573 (1994) 541-553","10.1016/0375-9474(94)90230-5",,"hep-ph",,"  The nucleon structure functions are studied with a special emphasis on
diquark correlations inside the nucleon. Assuming a phenomenological
diquark-quark model of the nucleon at the low energy hadronic scale, we
calculate the leading twist contributions to the nucleon structure functions.
We take the Nambu and Jona-Lasinio model for the calculation of the quark
distributions in the diquarks, and use the convolution method for the diquark
scattering process. The resulting quark distributions are evolved to the
experimental momentum scale using the perturbative QCD. We discuss the flavor
dependence of the nucleon structure functions and the importance of the
quark-quark correlations for the understanding of the nucleon structure.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 1993 06:11:10 GMT""}]","2015-06-25"
"hep-ph/9310267","749","K. Funakubo, A. Kakuto and K. Takenaga","The Effective Potential of Electroweak Theory with Two Massless Higgs
  Doublets at Finite Temperature","14 pages, 5 figures (included as compressed-uuencoded tar file),
  plain TeX( harvmac, epsf, tables ), KYUSHU-HET-10, SAGA-HE-50","Prog.Theor.Phys. 91 (1994) 341-352","10.1143/ptp/91.2.341",,"hep-ph",,"  The effective potential of electroweak theory with two massless Higgs
doublets at finite temperature is studied. We investigate phase structure and
critical temperature in this model by numerical analysis without
high-temperature expansion. The phase transition is found to be of first order.
The critical temperature is shown to be relatively low for typical scalar
masses. The free energy of the critical bubble is calculated with some
approximations and we find that the bubble nucleation can occur at a
temperature a little below the critical temperature. We also discuss the
possibility of the electroweak baryogenesis.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 1993 09:40:45 GMT""}]","2017-02-01"
"hep-ph/9310268","Tomoyuki Inui","T. Inui, T. Ichihara, Y. Mimura and N. Sakai","Cosmological Baryon Asymmetry in Supersymmetric Standard Models and
  Heavy Particle Effects","11 pages in LaTex, 3 PostScript figures included","Phys.Lett. B325 (1994) 392-400","10.1016/0370-2693(94)90031-0","TIT/HP-236","hep-ph",,"  Cosmological baryon asymmetry B is studied in supersymmetric standard models,
assuming the electroweak reprocessing of B and L. Only when the soft
supersymmetry breaking is taken into account, B is proportional to the
primordial B-L in the supersymmetric standard models. The ratio $B/(B-L)$ is
found to be about one percent less than the nonsupersymmetric case. Even if the
primordial B-L vanishes, scalar-leptons can be more efficient than leptons to
generate B provided that mixing angles $\th$ among scalar leptons satisfy
$|\th| < 10^{-8} (T/{GeV})^{1/2}$.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 1993 12:35:05 GMT""},{""version"":""v2"",""created"":""Sat, 23 Oct 1993 12:24:47 GMT""},{""version"":""v3"",""created"":""Mon, 24 Jan 1994 13:23:51 GMT""}]","2009-10-22"
"hep-ph/9310269",,"L. Lavoura and Jo\~ao P. Silva (Carnegie-Mellon University)","Comment on ``Neutrino masses and mixing angles in a predictive theory of
  fermion masses''","standard LATEX, 6 pages, 2 figures available from the authors, report
  No. CMU-HEP93-20 and DOE-ER/40682-45","Phys.Rev. D49 (1994) 3783-3786","10.1103/PhysRevD.49.3783",,"hep-ph",,"  In the extension of the Dimopoulos--Hall--Raby model of the fermion mass
matrices to the neutrino sector, there is an entry in the up-quark and neutrino
Dirac mass matrices which can be assumed to arise from the Yukawa coupling of a
{\bf 120}, instead of a {\bf 10} or a {\bf 126}, of SO(10). Although this
assumption leads to an extra undetermined complex parameter in the model, the
resulting lepton mixing matrix exhibits the remarkable feature that the $
\nu_{\tau} $ does not mix with the other two neutrinos. Making a reasonable
assumption about the extra parameter, we are able to fit the large-mixing-angle
MSW solution of the solar-neutrino problem, and we obtain $ m_{\nu_{\tau}} \sim
10 $ eV, the right mass range to close the Universe. Other possibilities for
explaining the solar-neutrino deficit are also discussed.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 1993 13:20:05 GMT""}]","2009-10-22"
"hep-th/9310058","Paul Fendley","P. Fendley and H. Saleur","Massless integrable quantum field theories and massless scattering in
  1+1 dimensions","30 pages + 2 figs included",,,"USC-93-022","hep-th",,"  These lecture notes provide an elementary introduction to the study of
massless integrable quantum field theory in 1+1 dimensions using ``massless
scattering''. Some previously unpublished results are also presented, including
a non-perturbative study of Virasoro conserved quantities.
","[{""version"":""v1"",""created"":""Mon, 11 Oct 1993 20:08:37 GMT""}]","2007-05-23"
"hep-th/9310059",,"Izawa K.-I","Dynamics of the Cosmological Constant in Two-Dimensional Universe","PHYZZX, 6 pages, KUNS 1221","Prog.Theor.Phys. 91 (1994) 393-396","10.1143/ptp/91.2.393",,"hep-th",,"  We consider a two-dimensional model of gravity with the cosmological constant
as a dynamical variable. The effective cosmological constant is derived when
the universe has no initial boundary. It turns out to be extremely small if the
universe is sufficiently large.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 1993 02:52:14 GMT""}]","2017-02-01"
"hep-th/9310060","Jsuzuki","Atsuo Kuniba, Tomoki Nakanishi and Junji Suzuki","Functional Relations in Solvable Lattice Models II","55 pages, harvmac, HUTP-93/A023","Int.J.Mod.Phys. A9 (1994) 5267-5312","10.1142/S0217751X94002120",,"hep-th",,"  Reported are two applications of the functional relations ($T$-system) among
a commuting family of row-to-row transfer matrices proposed in the previous
paper Part I. For a general simple Lie algebra $X_r$, we determine the
correlation lengths of the associated massive vertex models in the
anti-ferroelectric regime and central charges of the RSOS models in two
critical regimes. The results reproduce known values or even generalize them,
demonstrating the efficiency of the $T$-system.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 1993 07:54:59 GMT""}]","2015-06-26"
"hep-th/9310061",,"Roberto Zucchini","A Krichever--Novikov Formulation of W--Algebras on Riemann Surfaces","13 pages. A remark about eq. $(1.8)$ has been added and a mistake in
  eq. $(4.6)$ has been corrected","Phys.Lett.B323:322-329,1994","10.1016/0370-2693(94)91227-0",,"hep-th math.QA",,"  It is shown how the theory of classical $W$--algebras can be formulated on a
higher genus Riemann surface in the spirit of Krichever and Novikov. An
intriguing relation between the theory of $A_1$ embeddings into simple Lie
algebras and the holomorphic geometry of Riemann surfaces is exihibited.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 1993 09:06:00 GMT""},{""version"":""v2"",""created"":""Mon, 18 Oct 1993 12:39:00 GMT""},{""version"":""v3"",""created"":""Mon, 7 Mar 1994 08:12:00 GMT""}]","2014-11-18"
"hep-th/9310062","Francesco Toppan","E. Ivanov and F. Toppan","Superhamiltonian formalism for $2D$ $N=1,2$ theories","15 pages, latex, ENSLAPP/L/433/93","Mod.Phys.Lett. A9 (1994) 51-66","10.1142/S0217732394000071",,"hep-th",,"  We show how to formulate $2$-dimensional supersymmetric $N=1,2$ theories,
both massive and conformal, within a manifestly supersymmetric hamiltonian
framework, via the introduction of a (super)-Poisson brackets structure defined
on superfields. In this approach, as distinct from the previously known
superfield hamiltonian formulations, the dynamics is not separated into two
unrelated $2D$ light-cone superspaces, but is recovered by specifying boundary
conditions at a given ``super-time"" coordinate. So the approach proposed
provides a natural generalization of canonical hamiltonian formalism. One of
its interesting features is that the physical and auxiliary fields equations
appear on equal footing as the Hamilton ones.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 1993 11:38:13 GMT""}]","2015-06-26"
"hep-th/9310063","John Gracey","J.A. Gracey","Quark, Gluon and Ghost Anomalous Dimensions at O(1/N_f) in Quantum
  Chromodynamics","13 pages latex plus 3 figures (available from author on request),
  LTH-319","Phys.Lett. B318 (1993) 177-183","10.1016/0370-2693(93)91803-U",,"hep-th",,"  By considering the scaling behaviour of various Feynman graphs at leading
order in large $\Nf$ at the non-trivial fixed point of the $d$-dimensional
$\beta$-function of QCD we deduce the critical exponents corresponding to the
quark, gluon and ghost anomalous dimensions as well as the anomalous dimensions
of the quark-quark-gluon and ghost-ghost-gluon vertices in the Landau gauge. As
the exponents encode all orders information on the perturbation series of the
corresponding renormalization group functions we find agreement with the known
three loop structure and, moreover, we provide new information at all
subsequent orders.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 1993 11:37:00 GMT""}]","2009-10-22"
"hep-th/9310064","van der Bij","J. J. van der Bij","Can gravity make the Higgs particle light?","5 pages, Freiburg-THEP-93/25",,,,"hep-th",,"  The spontaneous symmetry breaking theory of gravity is examined, assuming
that the vacuum expectation value of the standard model Higgs is also
responsible for the generation of the Planck mass. In this model the physical
Higgs couples only with gravitational strength to matter. At presently
accessible energies the theory is indistinguishable from the standard model
without Higgs boson and is in agreement with all existing data.At energies
above the Fermi scale new dynamics should occur.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 1993 12:54:32 GMT""}]","2007-05-23"
"hep-th/9310065",,"Aurelian Isar","Wigner distribution function for the harmonic oscillator with
  dissipation within the theory of open quantum systems","17 pages,plain TEX, FT-389-1993",,,,"hep-th",,"  Time evolution of the expectation values of various dynamical operators of
the harmonic oscillator with dissipation is analitically obtained within the
framework of the Lindblad's theory for open quantum systems. We deduce the
density matrix of the damped harmonic oscillator from the solution of the
Fokker-Planck equation for the coherent state representation, obtained from the
master equation for the density operator. The Fokker-Planck equation for the
Wigner distribution function is also solved by using the Wang-Uhlenbeck method
of transforming it into a linearized partial differential equation for the
Wigner function, subject to either the Gaussian type or the $\delta$-function
type of initial conditions. The Wigner functions which we obtain are
two-dimensional Gaussians with different widths.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 1993 14:43:00 GMT""}]","2007-05-23"
"math/9310202",,"John Meier and Leonard Vanwyk","The Bieri-Neumann-Strebel invariants for graph groups","Plain Tex, 19 pages, no figures",,,"MAGNUS preprint #93-10-12A","math.GR",,"  Given a finite simplicial graph ${\cal G}$, the graph group $G{\cal G}$"" is
the group with generators in one-to-one correspondence with the vertices of
${\cal G}$ and with relations stating two generators commute if their
associated vertices are adjacent in ${\cal G}$. The Bieri-Neumann-Strebel
invariant can be explicitly described in terms of the original graph ${\cal G}$
and hence there is an explicit description of the distribution of finitely
generated normal subgroups of $G{\cal G}$ with abelian quotient. We construct
Eilenberg-MacLane spaces for graph groups and find partial extensions of this
work to the higher dimensional invariants.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 1993 00:00:00 GMT""}]","2009-09-25"
"math/9310203",,"William A. Bogley","Unions of Cockroft two-complexes","LaTex, 10 pages, no figures",,,"MAGNUS preprint #93-10-12B","math.GR",,"  A combinatorial group-theoretic hypothesis is presented that serves as a
necessary and sufficient condition for a union of connected Cockcroft
two-complexes to be Cockcroft. This hypothesis has a component that can be
expressed in terms of the second homology of groups. The hypothesis is applied
to the study of the third homology of groups given by generators and relators.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 1993 00:00:00 GMT""}]","2009-09-25"
"math/9310215",,"Beata Randrianantoanina","Contractive projections in nonatomic function spaces",,,,"Banach Archive 10/11/93","math.FA",,"  We prove that there is no 1-complemented subspace of finite codimension in
separable rearrangament-invariant function spaces.
","[{""version"":""v1"",""created"":""Mon, 11 Oct 1993 16:36:25 GMT""}]","2009-09-25"
