"astro-ph/9307039","Eyal Maoz","Eyal Maoz","The Expected Dipole in the Distribution of Cosmological Gamma-Ray Bursts","10 pages, Latex, Submitted to ApJ, preprints available","Astrophys.J. 428 (1994) 454","10.1086/174258",,"astro-ph",,"  If gamma-ray bursts originate at cosmological distances then their angular
distribution should exhibit a dipole in the direction of the solar motion
relative to the cosmic microwave background. This is due to the combined
effects of abberation, an anisotropic shift of the burst event rate, and an
angular variation in the distance out to which bursts can be detected.
  We derive the amplitude of the expected dipole for an open and flat
cosmological model, and for various possible evolution rates of the burst
population. Although our dimensionless velocity with respect to the CMB rest
frame is of order $10^{-3}$, the dipole amplitude is of order $10^{-2}$, an
order of magnitude larger. The results depend very weakly on the value of
$\Omega_0$, but are sensitive to the spectral index of the bursts' photon
spectra, and to the rate of evolution of the burst population. There is no
dependence on the value of the Hubble constant.
  A clear detection of the dipole will require a larger sample of bursts than
currently available (of order $10^4$). Future statistical analyses of the
hypothesis that bursts originate at cosmological distances should take this
effect into account, rather than assuming a perfectly isotropic distribution,
for obtaining the correct statistical significance of their results.
","[{""version"":""v1"",""created"":""Thu, 29 Jul 1993 16:02:27 GMT""}]","2009-10-22"
"hep-ph/9307368",,"Bob Bailey, Dirk Graudenz","Impact of QCD Corrections on the Search for the Intermediate Mass Higgs
  Boson","10 pages, (REVTEX file). (figures available by mail on request (send
  e-mail to graudenz@theorm.lbl.gov), please include your address such that it
  can be used as an address label). FSU-HEP-930801, LBL-34420","Phys.Rev. D49 (1994) 1486-1489","10.1103/PhysRevD.49.1486",,"hep-ph",,"  Using next-to-leading-log calculations of Higgs production and hadronic two
photon production, a signal and background study in the intermediate mass range
of the Higgs boson is done for $\sqrt{s}=$ 40 and 14 TeV. The effects of
realistic cuts, including photon isolation, are examined.
","[{""version"":""v1"",""created"":""Fri, 30 Jul 1993 00:09:44 GMT""}]","2009-10-22"
"hep-ph/9307369","Baillie","G. Baillie","Observing $b \rightarrow s \, \mu^+ \mu^-$ Decays at Hadron Colliders","17 pages, uses LaTeX, epsf and uufiles. UCLA/93/TEP/26","Z. Phys. C61 (1994) 667","10.1007/BF01552633",,"hep-ph",,"  We examine the prospects for observing weak flavour-changing neutral current
(FCNC) decays of \B\ mesons at hadron colliders, including effects of anomalous
$WWZ$~vertices. Since it is very difficult to measure the inclusive rate $B
\rightarrow X_s \, \lp \lm$ one should consider exclusive modes such as
\BKsmumu\ and \BKmumu. Even though this requires one to compute hadronic matrix
elements, we show that experimentally observable quantities (ratios of decay
rates) are not strongly parametrisation dependent. Some possibilities for
reducing the theoretical uncertainties from other experimental data are
discussed.
","[{""version"":""v1"",""created"":""Fri, 30 Jul 1993 04:09:14 GMT""}]","2009-10-22"
"hep-ph/9307370","Matsuda Masahisa","A.J.Davies, T.Hayashi, M.Matsuda and M.Tanimoto","Penguin-Diagram Induced $B \rightarrow K_X\phi$ Decays in the Standard
  Model and in the Two-Higgs-Doublet Model","18pages, Latex. Paper (Hayashi, Takemi et al. AUE-02-93) is replaced
  with reviced version Jan 1994 and aloso the title is changed",,"10.1103/PhysRevD.49.5882","AUE-02-93,EHU-03-93,KGU-02-93","hep-ph",,"  We systematically analyse the gluonic penguin-induced charmless decays $B \ra
K_X\phi$($K_X$ denotes the meson state $s\bar q \;(q=u\ {\rm or}\ d)$ ), in the
standard model and the two-Higgs-doublet model. These processes, being induced
at one-loop level, are of great importance in measuring the virtual top quark
effect in the standard model, and also in searching for the non-standard
signals in the low energy region. It is shown that the QCD effect is also
significant in these processes, as in the weak radiative processes $B \ra X_s
\gamma$. We also show that the charged Higgs contribution can not provide
sizable enhancements for the decays $B \ra K_X\phi$, in contrast to the decays
$B \ra K_X\gamma$. It is also found that processes such as $B \ra
K_1(1400)\phi$ and $B \ra K(1460)\phi$ have large branching fractions among $B
\ra K_X\phi$ decays.
","[{""version"":""v1"",""created"":""Fri, 30 Jul 1993 05:55:27 GMT""},{""version"":""v2"",""created"":""Wed, 23 Mar 1994 00:14:12 GMT""}]","2009-10-22"
"hep-ph/9307371",,"A.I. Davydychev, V.A. Smirnov and J.B. Tausk","Large momentum expansion of two-loop self-energy diagrams with arbitrary
  masses","Preprint INLO-PUB--5/93 (Instituut-Lorentz, University of Leiden,
  February 1993), 19 pages, 5 figures (two fugures included in the LaTEX file,
  and three figures added at the end as poscript-files; see information in the
  beginning of the file; copies of fugures can also be requested by e-mail:
  davyd@vsfys1.fi.uib.no)","Nucl.Phys. B410 (1993) 325-342","10.1016/0550-3213(93)90436-S",,"hep-ph",,"  For two-loop two-point diagrams with arbitrary masses, an algorithm to derive
the asymptotic expansion at large external momentum squared is constructed. By
using a general theorem on asymptotic expansions of Feynman diagrams, the
coefficients of the expansion are calculated analytically. For some two-loop
diagrams occurring in the Standard Model, comparison with results of numerical
integration shows that our expansion works well in the region above the highest
physical threshold.
","[{""version"":""v1"",""created"":""Fri, 30 Jul 1993 11:12:24 GMT""}]","2009-10-22"
"hep-ph/9307372","Markus Finkemeier","Roger Decker and Markus Finkemeier","Radiative Corrections to the decay tau -> pi (K) nu_tau","6 pages, Latex, Karlsruhe Univ. Preprint TTP 93-25","Phys.Lett. B316 (1993) 403-406","10.1016/0370-2693(93)90345-I",,"hep-ph",,"  We have calculated the O(alpha) radiative corrections to the tau decay tau ->
pi (K) nu, taking into account both the point meson contribution and the
structure dependent radiation. We find for the ratio Gamma(tau -> pi nu
(gamma)) / Gamma(pi -> mu nu (gamma)) a radiative correction of + 1.2% and for
Gamma(tau -> K nu (gamma)) / Gamma(K -> mu nu (gamma)) one of + 2.0%. We
compare our results with an earlier estimation and with experimental data.
","[{""version"":""v1"",""created"":""Fri, 30 Jul 1993 13:13:48 GMT""}]","2009-10-22"
"hep-th/9307182","Parthasarathi Majumdar","Saurya Das and Parthasarathi Majumdar","Charge-monopole versus Gravitational Scattering at Planckian Energies","9 pages, revtex, IMSc/93-42","Phys.Rev.Lett. 72 (1994) 2524-2526","10.1103/PhysRevLett.72.2524",,"hep-th",,"  The amplitude for the scattering of a point magnetic monopole and a point
charge, at centre-of-mass energies much larger than the masses of the
particles, and in the limit of low momentum transfer, is shown to be
proportional to the (integer-valued) monopole strength, assuming the Dirac
quantization condition for the monopole-charge system. It is demonstrated that,
for small momentum transfer, charge-monopole electromagnetic effects remain
comparable to those due to the gravitational interaction between the particles
even at Planckian centre-of-mass energies.
","[{""version"":""v1"",""created"":""Thu, 29 Jul 1993 16:58:01 GMT""}]","2009-10-22"
"hep-th/9307184",,"Stefan V.Mashkevich","Quantum Mechanics and Thermodynamics of Particles with Distance
  Dependent Statistics","9 pages, LATEX Kiev Institute for Theoretical Physics preprint
  ITP-93-5E, January 1993","Phys.Rev.D48:5953-5956,1993","10.1103/PhysRevD.48.5953",,"hep-th",,"  The general notion of distance dependent statistics in anyon-like systems is
discussed. The two-body problem for such statistics is considered, the general
formula for the second virial coefficient is derived and it is shown that in
the limiting cases it reproduces the known results for ideal anyons.
","[{""version"":""v1"",""created"":""Thu, 29 Jul 1993 22:55:14 GMT""}]","2014-11-18"
"hep-th/9307185",,"Tohru Eguchi (Dept. of Physics, Univ. of Tokyo, Tokyo, Japan)","c=1 Liouville Theory Perturbed by the Black-Hole Mass operator","10 pages,UT 650","Phys.Lett. B316 (1993) 74-79","10.1016/0370-2693(93)90660-A",,"hep-th",,"  We discuss the properties of the Liouville theory coupled to the c=1 matter
when perturbed by an operator, the screening operator of the $SL(2;R)$ current
algebra, which is supposed to generate the mass of the two-dimensional black
hole. Mimicking the standard KPZ scaling theory of the Liouville system
perturbed by the cosmological constant operator, we develop a scaling theory of
correlation functions as functions of the mass of the black hole. Contrary to
the case of KPZ, the present theory does not have the $c=1$ barrior and seems
somewhat insensitive to the delatils of the matter content of the theory; the
string succeptibility equals 1 independent of the matter central charge. It
turns out that our scaling exponents agree with those of the deformed matrix
model proposed recently by Jevicki and Yoneya.
","[{""version"":""v1"",""created"":""Fri, 30 Jul 1993 06:32:38 GMT""}]","2009-10-22"
"hep-th/9307186","Deogki Hong","D. K. Hong and S. H. Park","Large-N analysis of (2+1)-dimensional Thirring model","14 pages Latex. (Revised version: some changes have been made and
  references added.) To appear in Phys. Rev. D, SNUTP 93-47","Phys.Rev. D49 (1994) 5507-5511","10.1103/PhysRevD.49.5507",,"hep-th",,"  We analyze $(2+1)$-dimensional vector-vector type four-Fermi interaction
(Thirring) model in the framework of the $1/N$ expansion. By solving the
Dyson-Schwinger equation in the large-$N$ limit, we show that in the
two-component formalism the fermions acquire parity-violating mass dynamically
in the range of the dimensionless coupling $\alpha$, $0 \leq \alpha \leq
\alpha_c \equiv {1\over16} {\rm exp} (- {N \pi^2 \over 16})$. The symmetry
breaking pattern is, however, in a way to conserve the overall parity of the
theory such that the Chern-Simons term is not induced at any orders in $1/N$.
$\alpha_c$ turns out to be a non-perturbative UV-fixed point in $1/N$. The
$\beta$ function is calculated to be $\beta (\alpha) = -2 (\alpha - \alpha_c)$
near the fixed point, and the UV-fixed point and the $\beta$ function are shown
exact in the $1/N$ expansion.
","[{""version"":""v1"",""created"":""Fri, 30 Jul 1993 07:10:24 GMT""},{""version"":""v2"",""created"":""Tue, 10 May 1994 18:53:29 GMT""}]","2009-10-22"
"hep-th/9307187","Deogki Hong","Deog Ki Hong","Dynamical Effects of Chern-Simons Term","(Talk presented at 1st Asia-Pacific Theoretical Physics Winter
  School, Mt. Sorak, Feb, 1993), LaTex, 8 pages, SNUTP-93-48",,,,"hep-th",,"  We study how the Chern-Simons term effects the dynamically generated fermion
mass in $(2+1)D$ Quantum Electrodynamics in the framework of large $N$
expansion. We find that when the Chern-Simons term is present half of the
fermions get mass $M+m$ and half get $M-m$. The parity-preserving mass $m$ is
generated only when $N<\tilde{N}_c$. Both the critical number, $\tilde{N}_c$,
of fermion flavor and the magnitude, $m$, reduce when the effect of the
Chern-Simons term dominates.
","[{""version"":""v1"",""created"":""Fri, 30 Jul 1993 07:39:27 GMT""}]","2007-05-23"
"hep-th/9307188","Christian Wieczerkowski","M. Crivelli, Giovanni Felder, C. Wieczerkowski","Topological Representations of $U_q(sl_2)$ on the Torus and the Mapping
  Class Group","15 pages","Lett.Math.Phys.30:71-85,1993","10.1007/BF00761424","MS-TPI-93-04","hep-th math.QA",,"  We compute the mapping class group action on cycles on the configuration
space of the torus with one puncture, with coefficients in a local system
arising in conformal field theory. This action commutes with the topological
action of the quantum group $U_q(sl_2)$, and is given in vertex form.
","[{""version"":""v1"",""created"":""Fri, 30 Jul 1993 10:23:12 GMT""}]","2008-11-26"
"hep-th/9307189","Jens Ole","K. Ito, J.O. Madsen and J.L. Petersen","Extended Superconformal Algebras and Free Field Realizations from
  Hamiltonian Reduction","10 pages, NBI-HE-93-18","Phys.Lett. B318 (1993) 315-322","10.1016/0370-2693(93)90134-4",,"hep-th",,"  We develop the method of the hamiltonian reduction of affine Lie
superalgebras to obtain explicit and general expressions both for the classical
and the quantum extended superconformal algebras. By performing the gauge
transformation which connects the diagonal gauge with the Drinfeld-Sokolov
gauge and considering the quantum corrections, we get generic expressions for
the classical and quantum free field realizations of the algebras.
","[{""version"":""v1"",""created"":""Fri, 30 Jul 1993 09:41:39 GMT""}]","2009-10-22"
"hep-th/9307190","Laszlo Feher","L. Feher, L. O'Raifeartaigh and I. Tsutsui","The vacuum preserving Lie algebra of a classical W-algebra","11 pages, BONN-HE-93-25, DIAS-STP-93-13. Some typos had been removed,
  no change in formulas","Phys.Lett. B316 (1993) 275-281","10.1016/0370-2693(93)90325-C",,"hep-th",,"  We simplify and generalize an argument due to Bowcock and Watts showing that
one can associate a finite Lie algebra (the `classical vacuum preserving
algebra') containing the M\""obius $sl(2)$ subalgebra to any classical
$\W$-algebra. Our construction is based on a kinematical analysis of the
Poisson brackets of quasi-primary fields. In the case of the $\W_\S^\G$-algebra
constructed through the Drinfeld-Sokolov reduction based on an arbitrary
$sl(2)$ subalgebra $\S$ of a simple Lie algebra $\G$, we exhibit a natural
isomorphism between this finite Lie algebra and $\G$ whereby the M\""obius
$sl(2)$ is identified with $\S$.
","[{""version"":""v1"",""created"":""Fri, 30 Jul 1993 10:21:30 GMT""},{""version"":""v2"",""created"":""Mon, 2 Aug 1993 15:05:30 GMT""}]","2009-10-22"
"hep-th/9307191","Masaru Onoda","Masaru Onoda","Cancellation of unphysical gauge and ghost degrees of freedom in
  backreaction","20 pages , LaTeX , UT-Komaba/93-9","Phys.Rev.D48:3860-3868,1993","10.1103/PhysRevD.48.3860",,"hep-th",,"  We study the U(1) Higgs model in spacetime-dependent background fields (a
background metric and a background scalar field).
  Particle creation can occur because of the time-dependence of these
background fields. In gauge theories, there is a unphysical sector and
consequently unphysical particles may be produced. However, it is shown that
produced unphysical particles have no contribution to backreaction to
background fields.
","[{""version"":""v1"",""created"":""Fri, 30 Jul 1993 12:30:30 GMT""}]","2010-11-01"
"hep-th/9307192","Sen Diptiman","B. Basu-Mallick","Quantum group and Manin plane related to a coloured braid group
  representation","20 Pages",,,"ICTP Preprint IC/93/218","hep-th math.QA",,"  By considering `coloured' braid group representation we have obtained a
quantum group, which reduces to the standard $GL_q(2)$ and $GL_{p,q}(2)$ cases
at some particular limits of the `colour' parameters. In spite of quite
complicated nature, all of these new quantum group relations can be expressed
neatly in the Heisenberg-Weyl form, for a nontrivial choice of the basis
elements. Furthermore, it is possible to associate invariant Manin planes,
parametrised by the `colour' variables, with such quantum group structure.
","[{""version"":""v1"",""created"":""Fri, 30 Jul 1993 13:58:24 GMT""}]","2008-02-03"
"nucl-th/9307028","Ruprecht Machleidt","G. Q. Li and R. Machleidt (University of Idaho)","Microscopic Calculation of in-Medium Nucleon-Nucleon Cross Ssections","22 pages text (REVTEX) and 12 figures (paper, available upon request)
  UI-NTH-9305","Phys.Rev.C48:1702,1993","10.1103/PhysRevC.48.1702",,"nucl-th",,"  We derive in-medium nucleon-nucleon (NN) cross sections in a microscopic
model. Our calculations are based upon the Bonn NN potential and the
Dirac-Brueckner approach for nuclear matter. We consider energies up to 300 MeV
(in the laboratory frame) and densities up to twice nuclear matter density. Our
results deviate substantially from cross section parametrizations that are
commonly used in the nuclear medium.
","[{""version"":""v1"",""created"":""Fri, 30 Jul 1993 05:13:15 GMT""}]","2008-11-26"
